,positions
12523,rnbqk2r/ppppbppp/4pn2/8/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 3 4
12524,rnbqkbnr/ppp2p1p/4p1p1/3p4/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 0 4
12525,rnbqkbnr/p2p1ppp/1p2p3/2p5/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12526,rnbqkb1r/pppnpppp/8/3pP3/8/2N5/PPPP2PP/R1BQKBNR w KQkq - 1 4
12527,rnbqk2r/ppppppbp/5np1/8/2PP4/8/PPQ1P1PP/RNB1KBNR w KQkq - 2 4
12528,rnbqkb1r/pp2pppp/5n2/2pp4/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 1 4
12529,rn1qkb1r/pbpppppp/5n2/1p6/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 2 4
12530,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 1 4
12531,r1bqkb1r/pppnpppp/3p1n2/6B1/3P4/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12532,rnbqk2r/ppppppbp/5np1/8/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 2 4
12533,rnbqkb1r/pp2pppp/2p2n2/3p4/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 0 4
12534,r2qkbnr/ppp1pppp/2n5/3p1b2/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 3 4
12535,rn1qkb1r/ppp1pppp/5n2/3p1bB1/3P4/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12536,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 1 4
12537,r1bqkbnr/1p1ppppp/p1n5/2p5/2P1P3/5N2/PP1P2PP/RNBQKB1R w KQkq - 1 4
12538,r1bqkb1r/p1pppppp/1pn2n2/8/8/1P3N2/PBPPP1PP/RN1QKB1R w KQkq - 4 4
12539,rn1qkbnr/pbpp1ppp/1p6/4p3/2P1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 0 4
12540,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/P4N2/1PP1P1PP/RNBQKB1R w KQkq - 1 4
12541,rnbqkb1r/ppppp2p/5np1/5p2/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 0 4
12542,rnbqk1nr/pppp1pbp/4p1p1/8/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 2 4
12543,rnbqk1nr/pp1pppbp/6p1/2p5/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 0 4
12544,rnbqk1nr/pp1pppbp/6p1/2p5/4P3/6P1/PPPP2BP/RNBQK1NR w KQkq - 2 4
12545,r1bqkb1r/ppp1pppp/2n2n2/3p4/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 0 4
12546,rnbqkbnr/pp3ppp/3pp3/2p5/4P3/5NP1/PPPP3P/RNBQKB1R w KQkq - 0 4
12547,rn1qkbnr/pp2pppp/2p5/3p1b2/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 0 4
12548,rnbqkbnr/pp2p1pp/2p2p2/3pP3/8/6P1/PPPP3P/RNBQKBNR w KQkq - 0 4
12549,rn1qkb1r/ppp1pppp/5n2/3p4/3P1Bb1/2N5/PPP1P1PP/R2QKBNR w KQkq - 4 4
12550,r1bqkbnr/pppn1ppp/4p3/3p4/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 0 4
12551,rnbqkb1r/ppp1pp1p/5np1/3p2B1/3P4/5N2/PPP1P1PP/RN1QKB1R w KQkq - 0 4
12552,rnbqkb1r/pp1ppp1p/2p2np1/8/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12553,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N5/PPPP2PP/R1BQK1NR w KQkq - 2 4
12554,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/5NP1/PPPP3P/RNBQKB1R w KQkq - 2 4
12555,rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/2N5/PPP1P1PP/R2QKBNR w KQkq - 0 4
12556,rnbqkb1r/pp1ppppp/8/2p5/3Pn2B/8/PPP1P1PP/RN1QKBNR w KQkq - 0 4
12557,rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 0 4
12558,rnbqk1nr/ppp2ppp/3p4/2b1p3/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 0 4
12559,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP2PP/RNBQK2R w KQkq - 4 4
12560,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 0 4
12561,r1bqkbnr/pp1p1ppp/2n5/2p1p3/2P5/1P6/PB1PP1PP/RN1QKBNR w KQkq - 2 4
12562,rnbqk1nr/ppp2ppp/3pp3/8/1bP1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 0 4
12563,rnbqkbnr/pp3ppp/3p4/2p1p3/2P5/1P6/PB1PP1PP/RN1QKBNR w KQkq - 0 4
12564,rnbqkb1r/ppp1pppp/8/3p4/3Pn2B/8/PPP1P1PP/RN1QKBNR w KQkq - 0 4
12565,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/4PN2/PP1P2PP/RNBQKB1R w KQkq - 1 4
12566,rnbqk2r/ppppbppp/5n2/4p3/4P3/2N3P1/PPPP3P/R1BQKBNR w KQkq - 3 4
12567,rnbqkb1r/pp2pppp/7n/2pp4/8/1P2PN2/P1PP2PP/RNBQKB1R w KQkq - 1 4
12568,1rbqkbnr/pp1ppppp/2n5/2p5/4P3/2N3P1/PPPP3P/R1BQKBNR w KQk - 1 4
12569,r1bqkbnr/pppp1p1p/2n3p1/4p3/8/3P1NP1/PPP1P2P/RNBQKB1R w KQkq - 0 4
12570,rnbqkb1r/pp2pppp/3p1n2/2p5/2P1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 0 4
12571,rnbqkb1r/pp2pppp/5n2/2pp4/8/1P2P3/PBPP2PP/RN1QKBNR w KQkq - 1 4
12572,rnbqkb1r/ppp1ppp1/5n1p/3p2B1/3P4/2N5/PPP1P1PP/R2QKBNR w KQkq - 0 4
12573,rnbqkb1r/pp1ppp1p/5np1/2p5/2P1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 0 4
12574,rnbqk2r/pppp1ppp/4pn2/8/1b1P4/2N2N2/PPP1P1PP/R1BQKB1R w KQkq - 2 4
12575,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1P2/4P3/PPP3P1/RNBQKBNR w KQkq - 1 4
12576,rn1qkbnr/pb1ppppp/1p6/2p5/2P1P3/5N2/PP1P2PP/RNBQKB1R w KQkq - 1 4
12577,rnbqkb1r/pp1p1ppp/5n2/2p1p3/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 1 4
12578,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 3 4
12579,r1bqkbnr/ppp2ppp/2np4/4p3/8/1P2P3/PBPP2PP/RN1QKBNR w KQkq - 1 4
12580,r1bqkbnr/pppp2pp/2n5/4pp2/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 2 4
12581,rn1qkb1r/ppp1pppp/3p1n2/5b2/3P4/5N1P/PPP1P1P1/RNBQKB1R w KQkq - 1 4
12582,rnbqk2r/pppp1ppp/4pn2/8/1bPP4/8/PP1NP1PP/R1BQKBNR w KQkq - 3 4
12583,r1bqkb1r/pp1ppppp/2n2n2/2p5/8/1P2P3/PBPP2PP/RN1QKBNR w KQkq - 1 4
12584,rnbqk2r/pppp1ppp/5n2/2b1p3/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 2 4
12585,rn1qkb1r/pbpppppp/1p3n2/8/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 2 4
12586,r1bqkb1r/ppp1pppp/2n2n2/3p4/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 3 4
12587,rnbqk2r/pppp1ppp/4pn2/8/1bP5/2N5/PPQPP1PP/R1B1KBNR w KQkq - 4 4
12588,rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/8/PP1BP1PP/RN1QKBNR w KQkq - 2 4
12589,rnbqkb1r/ppp2ppp/3p1n2/4p3/8/1P2P3/PBPP2PP/RN1QKBNR w KQkq - 1 4
12590,rnbqkbnr/ppp2p1p/3p2p1/4p3/4P3/2N3P1/PPPP3P/R1BQKBNR w KQkq - 0 4
12591,r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 2 4
12592,rn1qkbnr/pb1ppppp/1p6/2p5/4P3/1P4P1/P1PP3P/RNBQKBNR w KQkq - 1 4
12593,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 2 4
12594,r1bqk1nr/pppp1ppp/2n5/2b1p3/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 1 4
12595,rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 0 4
12596,rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/5N1P/PPP1P1P1/RNBQKB1R w KQkq - 0 4
12597,r1bqkb1r/pp1ppppp/2n2n2/2p5/4P3/2N4P/PPPP2P1/R1BQKBNR w KQkq - 1 4
12598,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 2 4
12599,r2qkbnr/ppp1pppp/2n5/3p4/3P1Bb1/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12600,rnbqkb1r/pppp2pp/4pn2/5p2/2P5/1P6/PB1PP1PP/RN1QKBNR w KQkq - 0 4
12601,rnbqkb1r/1ppppp1p/5np1/p7/8/1P3NP1/P1PPP2P/RNBQKB1R w KQkq - 0 4
12602,rnbqkbnr/1p1ppp1p/p5p1/2p5/4P3/N2B4/PPPP2PP/R1BQK1NR w KQkq - 0 4
12603,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 0 4
12604,rn1qkbnr/pp2pppp/2p5/3p1b2/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 2 4
12605,rnbqkbnr/pp3ppp/2pp4/4p3/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12606,r1bqkbnr/pp2pppp/2np4/2p5/4P3/6P1/PPPP2BP/RNBQK1NR w KQkq - 0 4
12607,r1bqk1nr/pppp1ppp/2n1p3/8/1b2P3/2N3P1/PPPP3P/R1BQKBNR w KQkq - 1 4
12608,rnbqkbnr/pp2pp1p/3p2p1/2p5/4P3/5NP1/PPPP3P/RNBQKB1R w KQkq - 0 4
12609,rnbqkbnr/pp2pppp/8/2pp4/4P3/2P3P1/PP1P3P/RNBQKBNR w KQkq - 0 4
12610,rnbqkb1r/ppp2ppp/3ppn2/8/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 0 4
12611,rnbqkb1r/p1pp1ppp/1p2pn2/8/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 1 4
12612,rnbqk2r/pppp1ppp/5n2/4p3/1bP5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 1 4
12613,r1bqkb1r/pppnpppp/5n2/3p4/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 2 4
12614,r1bqkbnr/pp1npppp/3p4/1Bp5/4P3/1P6/P1PP2PP/RNBQK1NR w KQkq - 2 4
12615,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 1 4
12616,rnbqkb1r/ppp2ppp/4pn2/3p4/4P3/5N2/PPPPQ1PP/RNB1KB1R w KQkq - 0 4
12617,rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12618,r2qkbnr/ppp1pppp/2n5/3p4/3P1Bb1/5N2/PPP1P1PP/RN1QKB1R w KQkq - 3 4
12619,rnbqkb1r/ppp1pp1p/5np1/3p2B1/3P4/2N5/PPP1P1PP/R2QKBNR w KQkq - 0 4
12620,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPPQ1PP/RNB1KB1R w KQkq - 2 4
12621,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 2 4
12622,rnbqkbnr/pp3ppp/2p1p3/3p4/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 0 4
12623,rnbqkbnr/pp3ppp/4p3/2pp4/4P3/1P6/PBPP2PP/RN1QKBNR w KQkq - 0 4
12624,r1bqkbnr/pp1ppp1p/2n3p1/2p5/2P1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 1 4
12625,rnbqk1nr/pppp2pp/4p3/3P1p2/1b6/5N2/PPP1P1PP/RNBQKB1R w KQkq - 1 4
12626,r1bqkbnr/pp2pppp/2np4/2p5/2P1P3/3P4/PP3PP1/RNBQKBNR w KQkq - 0 4
12627,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 0 4
12628,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/6P1/PPPP2BP/RNBQK1NR w KQkq - 2 4
12629,r1bqkbnr/pppp2pp/2n5/4pp2/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 0 4
12630,rn1qkb1r/ppp1pppp/5n2/3p4/6b1/5NP1/PPPPP1BP/RNBQK2R w KQkq - 3 4
12631,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/6P1/PPPP2BP/RNBQK1NR w KQkq - 0 4
12632,rnbqk2r/ppppbppp/5n2/4p3/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 1 4
12633,rnbqkbnr/1p2pppp/p7/2pp4/8/1P2PN2/P1PP2PP/RNBQKB1R w KQkq - 0 4
12634,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/6P1/PPPPQ2P/RNB1KBNR w KQkq - 1 4
12635,rnbqk1nr/ppppbppp/8/3Np3/2P5/8/PP1PP1PP/R1BQKBNR w KQkq - 4 4
12636,rnbqkb1r/ppp1p1pp/5n2/3p1pB1/3P4/2N5/PPP1P1PP/R2QKBNR w KQkq - 2 4
12637,rnbqkb1r/ppppp2p/5np1/5p2/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12638,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/5NP1/PPPP3P/RNBQKB1R w KQkq - 2 4
12639,r1bqkb1r/pp1ppppp/2n2n2/2p5/4P3/5N2/PPPPB1PP/RNBQK2R w KQkq - 4 4
12640,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2P3P1/PP1P3P/RNBQKBNR w KQkq - 1 4
12641,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 1 4
12642,rnb1kbnr/pp2pppp/1qp5/3p4/1P6/4P3/PBPP2PP/RN1QKBNR w KQkq - 2 4
12643,rn1qkb1r/ppp1pppp/5n2/3p1b2/8/1P3N2/PBPPP1PP/RN1QKB1R w KQkq - 3 4
12644,r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 1 4
12645,rnbqkb1r/pp2pppp/3p1n2/2p5/2P1P3/5N2/PP1P2PP/RNBQKB1R w KQkq - 1 4
12646,r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 2 4
12647,r1bqkb1r/pppnpppp/5n2/3p4/3P4/2N2N2/PPP1P1PP/R1BQKB1R w KQkq - 1 4
12648,rn1qkbnr/pbpp1ppp/1p2p3/8/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 2 4
12649,rnbqkb1r/pp1ppp1p/5np1/2p5/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 0 4
12650,rnbqkb1r/pp2pppp/5n2/2pp4/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 0 4
12651,rnbqk2r/ppppppbp/5np1/8/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 3 4
12652,rnbqkb1r/p1pppp1p/1p3np1/8/1P6/5NP1/P1PPP2P/RNBQKB1R w KQkq - 0 4
12653,rnbqkb1r/p1pppp1p/1p3np1/8/8/1P3NP1/P1PPP2P/RNBQKB1R w KQkq - 0 4
12654,rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 2 4
12655,rnbqk1nr/pp1pppbp/6p1/2p5/2P1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 1 4
12656,rn1qkbnr/pp2pppp/2p5/3p2B1/3P2b1/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12657,rnbqkbnr/ppp2p1p/3p2p1/4p3/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 0 4
12658,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/6P1/PPPP2BP/RNBQK1NR w KQkq - 0 4
12659,rn1qkbnr/ppp1ppp1/7p/3p1bB1/3P4/2N5/PPP1P1PP/R2QKBNR w KQkq - 0 4
12660,rnbqkb1r/pppp2pp/4pn2/5pB1/3P4/5N2/PPP1P1PP/RN1QKB1R w KQkq - 0 4
12661,rnbqkb1r/pp1p1ppp/4pn2/2p3B1/3P4/8/PPPNP1PP/R2QKBNR w KQkq - 0 4
12662,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/1P3N2/P1PP2PP/RNBQKB1R w KQkq - 2 4
12663,r1bqkbnr/pp2pppp/2n5/2pp4/8/1P3N2/PBPPP1PP/RN1QKB1R w KQkq - 2 4
12664,rnbqkb1r/ppp1pp1p/5np1/3p4/8/1P3N2/PBPPP1PP/RN1QKB1R w KQkq - 0 4
12665,r1bqkb1r/pppnpppp/3p1n2/8/3P4/5N1P/PPP1P1P1/RNBQKB1R w KQkq - 1 4
12666,r1bqkb1r/pp1ppppp/2n2n2/2p5/4P3/3B1N2/PPPP2PP/RNBQK2R w KQkq - 4 4
12667,r1bqkbnr/pp1p1ppp/2n1p3/2p5/4P3/2N5/PPPPN1PP/R1BQKB1R w KQkq - 2 4
12668,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 4 4
12669,r1bqkb1r/ppp1pppp/2n2n2/3p4/8/1P3N2/PBPPP1PP/RN1QKB1R w KQkq - 3 4
12670,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N5/PPPP2PP/R1BQK1NR w KQkq - 4 4
12671,rnbqk1nr/ppp1ppbp/3p2p1/8/4P3/2N3P1/PPPP3P/R1BQKBNR w KQkq - 1 4
12672,rnbqk1nr/ppp1ppbp/3p2p1/8/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 1 4
12673,rnbqk1nr/ppp2ppp/4p3/3p4/1bPP4/8/PP1NP1PP/R1BQKBNR w KQkq - 0 4
12674,r1bqkbnr/pppn1ppp/4p3/3p4/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 1 4
12675,rnbqkbnr/pp3ppp/4p3/2pp4/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 0 4
12676,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 2 4
12677,r1bqkb1r/pppnpppp/5n2/3p4/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 3 4
12678,rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 0 4
12679,rnbqk2r/pppp1ppp/5n2/4p3/1bP5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 2 4
12680,rnbqkbnr/pp3ppp/4p3/2pp4/1P2P3/5N2/P1PP2PP/RNBQKB1R w KQkq - 0 4
12681,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/2N2N2/PP1PP1PP/R1BQKB1R w KQkq - 2 4
12682,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 0 4
12683,r1bqkb1r/pppnpppp/3p1n2/8/3P4/1P3N2/P1P1P1PP/RNBQKB1R w KQkq - 1 4
12684,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/5NP1/PPPP3P/RNBQKB1R w KQkq - 0 4
12685,rn1qkbnr/pbpp1ppp/1p2p3/8/8/1P3N2/PBPPP1PP/RN1QKB1R w KQkq - 0 4
12686,rnbqkb1r/pp1ppp1p/5np1/2p5/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 1 4
12687,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/1P3N2/P1PP2PP/RNBQKB1R w KQkq - 1 4
12688,rnbqk2r/ppppppbp/5np1/8/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 2 4
12689,rnbqk2r/ppppbppp/4pn2/8/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 2 4
12690,r1bqkbnr/ppp2ppp/2n1p3/3p4/4P3/3P4/PPP1Q1PP/RNB1KBNR w KQkq - 1 4
12691,rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/5N2/PPP1P1PP/RN1QKB1R w KQkq - 0 4
12692,rnbqkbnr/1p2pppp/p2p4/2p5/4P3/2N3P1/PPPP3P/R1BQKBNR w KQkq - 0 4
12693,rnbqk2r/ppppppbp/5np1/8/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 1 4
12694,rnbqkb1r/ppp1pppp/8/3p2B1/3Pn3/5N2/PPP1P1PP/RN1QKB1R w KQkq - 3 4
12695,rnbqk2r/ppppppbp/5np1/8/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 3 4
12696,rnbqk2r/ppppppbp/5np1/6B1/3P4/5N2/PPP1P1PP/RN1QKB1R w KQkq - 4 4
12697,r1bqkb1r/ppppp1pp/2n2n2/5p2/2P5/1P6/PB1PP1PP/RN1QKBNR w KQkq - 3 4
12698,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/3B1N2/PPPP2PP/RNBQK2R w KQkq - 2 4
12699,rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2N5/PPPPB1PP/R1BQK1NR w KQkq - 2 4
12700,rnbqk2r/pppp1ppp/4pn2/8/1bP5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 2 4
12701,r1bqkbnr/pp1p1ppp/2n1p3/2p5/2B1P3/2N5/PPPP2PP/R1BQK1NR w KQkq - 0 4
12702,r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 1 4
12703,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1B2/5N2/PPP1P1PP/RN1QKB1R w KQkq - 2 4
12704,rnbqk1nr/pp1pppbp/6p1/2p5/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 2 4
12705,rnbqkb1r/ppp1pp1p/3p1np1/8/8/1P3NP1/P1PPP2P/RNBQKB1R w KQkq - 0 4
12706,r1bqkbnr/pp2pppp/2np4/2p5/4P3/6P1/PPPP2BP/RNBQK1NR w KQkq - 2 4
12707,rn1qkb1r/pbpppppp/1p3n2/8/8/1P3NP1/P1PPP2P/RNBQKB1R w KQkq - 1 4
12708,rnbqkbnr/1p1p1ppp/p3p3/2p5/4P3/5NP1/PPPP3P/RNBQKB1R w KQkq - 0 4
12709,rnbqkb1r/pp1ppppp/8/2p5/3PnB2/8/PPP1P1PP/RN1QKBNR w KQkq - 0 4
12710,rnbqkb1r/pp1pnppp/4p3/2p5/4P3/2N3P1/PPPP3P/R1BQKBNR w KQkq - 1 4
12711,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/5N1P/PPPP2P1/RNBQKB1R w KQkq - 2 4
12712,rnbqk2r/ppppppbp/5np1/8/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 3 4
12713,r1bqk1nr/pppp1ppp/2n5/2b1p3/4P3/2N2N2/PPPP2PP/R1BQKB1R w KQkq - 4 4
12714,r1bqkbnr/pp1ppp1p/2n3p1/2p5/4P3/1P3N2/P1PP2PP/RNBQKB1R w KQkq - 0 4
12715,rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/2P2N2/PP1P2PP/RNBQKB1R w KQkq - 1 4
12716,r2qkbnr/ppp1pppp/2n5/3p1b2/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 3 4
12717,rnbqkb1r/pp1p1ppp/4pn2/2p5/2P1P3/2N5/PP1P2PP/R1BQKBNR w KQkq - 0 4
12718,rnbqkb1r/p1pppppp/5n2/8/Pp6/5NP1/1PPPP2P/RNBQKB1R w KQkq - 0 4
12719,rnbqk1nr/ppp1ppbp/3p2p1/8/2P5/5NP1/PP1PP2P/RNBQKB1R w KQkq - 0 4
12720,rn1qkb1r/pbpppppp/1p3n2/8/8/1P2PN2/P1PP2PP/RNBQKB1R w KQkq - 3 4
12721,rnbqkb1r/p1pp1ppp/1p2pn2/8/3P4/1P3N2/P1P1P1PP/RNBQKB1R w KQkq - 0 4
12722,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1B2/2N5/PPP1P1PP/R2QKBNR w KQkq - 2 4
12723,rn1qkb1r/ppp1pppp/5n2/3p1b2/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 4 4
12724,rn1qkb1r/ppp1pppp/5n2/3p4/3P1Bb1/5N2/PPP1P1PP/RN1QKB1R w KQkq - 4 4
12725,rn1qkbnr/ppp2ppp/3pb3/4p3/2P5/2N3P1/PP1PP2P/R1BQKBNR w KQkq - 2 4
12726,rnbqk1nr/pp1pppbp/6p1/2p5/4P3/2N3P1/PPPP3P/R1BQKBNR w KQkq - 0 4
12727,rnbqkb1r/p1p1pppp/1p3n2/3p4/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 0 4
12728,rnbqkb1r/pp1ppp1p/5np1/2p5/3P4/6P1/PPP1P1BP/RNBQK1NR w KQkq - 0 4
12729,rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/6P1/PP1PP1BP/RNBQK1NR w KQkq - 0 4
12730,r1bqkbnr/pppp2pp/2n5/4pp2/2P5/2N1P3/PP1P2PP/R1BQKBNR w KQkq - 0 4
12731,r1bqk1nr/pppp1ppp/2n5/1Bb1p3/4P3/5N2/PPPP2PP/RNBQK2R w KQkq - 4 4
12732,rnbqkbnr/1pp1ppp1/p6p/3p2B1/3P4/5N2/PPP1P1PP/RN1QKB1R w KQkq - 0 4
12733,rnbqkb1r/pp1p1ppp/4pn2/2p5/3P4/1P3N2/P1P1P1PP/RNBQKB1R w KQkq - 0 4
12734,rnbqkb1r/ppp1pp1p/3p1np1/8/8/5NP1/PPPPP1BP/RNBQK2R w KQkq - 0 4
12735,rnbqkb1r/pppp2pp/4pn2/5p2/3P4/1P4P1/P1P1P2P/RNBQKBNR w KQkq - 0 4
12736,r1bqkbnr/ppp2ppp/2n1p3/3p4/4P3/3P4/PPPN2PP/R1BQKBNR w KQkq - 2 4
12737,rnbqkb1r/ppp2ppp/3ppn2/8/3P4/5NP1/PPP1P2P/RNBQKB1R w KQkq - 0 4
